index,x_px,y_px,mean_f,radius_mm,radius_px
7,616,396,0.3430655002593994,5.0,48
8,770,427,0.32267606258392334,5.0,48
2,886,130,0.32191699743270874,5.0,48
9,707,436,0.32065778970718384,5.0,48
4,938,182,0.31695207953453064,5.0,48
